Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Attention deficit hyperactivity disorder	C1263846	SDHA	6389	P31040	succinate dehydrogenase complex flavoprotein subunit A	Enzyme	246	0.517	0.731	2.6088e-10	0.1		1.0	4	1	2010.0	2017.0
Attention deficit hyperactivity disorder	C1263846	PIEZO2	63895	Q9H5I5	piezo type mechanosensitive ion channel component 2	Ion channel	224	0.529	0.769	8.0992e-07	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CXorf56	63932	Q9H5V9	chromosome X open reading frame 56		50	0.705	0.385	0.95204	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SEMA4A	64218	Q9H3S1	semaphorin 4A	Signaling	141	0.569	0.692	1.8394e-05	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CSMD1	64478	Q96PZ7	CUB and Sushi multiple domains 1		90	0.61	0.5	1.0	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	LINC00461	645323		long intergenic non-protein coding RNA 461		30	0.736	0.423		0.1		1.0	3	2	2019.0	2019.0
Attention deficit hyperactivity disorder	C1263846	ARV1	64801	Q9H2C2	ARV1 homolog, fatty acid homeostasis modulator		57	0.691	0.423	3.5867e-06	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SIM1	6492	P81133	SIM bHLH transcription factor 1	Transcription factor	84	0.626	0.654	0.99828	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SLC1A2	6506	P43004	solute carrier family 1 member 2	Transporter	208	0.511	0.731	0.71036	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SLC2A1	6513	P11166	solute carrier family 2 member 1	Transporter	687	0.388	0.808	0.9941	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SLC6A2	6530	P23975	solute carrier family 6 member 2	Transporter	238	0.49	0.846	0.081524	0.1		0.923	39	10	2002.0	2019.0
Attention deficit hyperactivity disorder	C1263846	SLC6A4	6532	P31645	solute carrier family 6 member 4	Transporter	440	0.429	0.808	0.24602	0.1		0.939	49	2	2001.0	2019.0
Attention deficit hyperactivity disorder	C1263846	SLC6A9	6536	P48067	solute carrier family 6 member 9	Transporter	71	0.641	0.5	2.1702e-05	0.1		1.0	1	1	2019.0	2019.0
Attention deficit hyperactivity disorder	C1263846	BMPR1A	657	P36894	bone morphogenetic protein receptor type 1A	Kinase	203	0.522	0.731	0.90333	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SMPD1	6609	P17405	sphingomyelin phosphodiesterase 1	Enzyme	247	0.499	0.885	3.8932e-10	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SNAP25	6616	P60880	synaptosome associated protein 25	Transporter	283	0.489	0.808	0.98653	0.1		1.0	35	8	2000.0	2019.0
Attention deficit hyperactivity disorder	C1263846	SNRPN	6638	P63162;Q9Y675	small nuclear ribonucleoprotein polypeptide N	Nucleic acid binding	183	0.538	0.731	0.043181	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SOX5	6660	P35711	SRY-box transcription factor 5		150	0.545	0.769	0.99995	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SPG7	6687	Q9UQ90	SPG7 matrix AAA peptidase subunit, paraplegin	Enzyme	419	0.436	0.885	1.9683e-36	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	BRCA2	675	P51587	BRCA2 DNA repair associated	Nucleic acid binding	656	0.379	0.846	2.3581e-25	0.1		1.0	6	1	2005.0	2013.0
Attention deficit hyperactivity disorder	C1263846	STXBP1	6812	P61764	syntaxin binding protein 1	Transporter	213	0.532	0.692	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TBX1	6899	O43435	T-box transcription factor 1	Transcription factor	417	0.433	0.808	0.83661	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TCF4	6925	P15884	transcription factor 4	Transcription factor	378	0.464	0.846	0.99981	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	TCF20	6942	Q9UGU0	transcription factor 20	Transcription factor	78	0.644	0.423	1.0	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	TGFBR2	7048	P37173	transforming growth factor beta receptor 2	Kinase	502	0.413	0.846	0.12535	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TSPAN7	7102	P41732	tetraspanin 7		87	0.604	0.731	0.74577	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TRIO	7204	O75962	trio Rho guanine nucleotide exchange factor	Kinase	143	0.556	0.731	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TSC1	7248	Q92574	TSC complex subunit 1		391	0.44	0.808	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TSC2	7249	P49815	TSC complex subunit 2	Enzyme modulator	410	0.439	0.808	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	HIRA	7290	P54198	histone cell cycle regulator	Nucleic acid binding	157	0.537	0.808	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	UBE3A	7337	Q05086	ubiquitin protein ligase E3A		155	0.561	0.692	0.9998	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	UFD1	7353	Q92890	ubiquitin recognition factor in ER associated degradation 1		148	0.537	0.769	0.99638	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CLIP2	7461	Q9UDT6	CAP-Gly domain containing linker protein 2	Cellular structure	201	0.529	0.808	0.99997	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	YWHAG	7532	P61981	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	Chaperone	85	0.621	0.5	0.964	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ZNF711	7552	Q9Y462	zinc finger protein 711		52	0.691	0.423	0.97887	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ZNF41	7592	P51814	zinc finger protein 41		45	0.711	0.385	0.035083	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	MKRN3	7681	Q13064	makorin ring finger protein 3	Enzyme	92	0.619	0.615	0.27756	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	PCGF2	7703	P35227	polycomb group ring finger 2		114	0.579	0.615	0.86397	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TRIM26	7726	Q12899	tripartite motif containing 26		31	0.705	0.577	0.17836	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	CACNA1A	773	O00555	calcium voltage-gated channel subunit alpha1 A	Ion channel	320	0.489	0.769	1.0	0.1		1.0	1	3	2015.0	2015.0
Attention deficit hyperactivity disorder	C1263846	CACNA1B	774	Q00975	calcium voltage-gated channel subunit alpha1 B	Ion channel	79	0.65	0.577	0.99998	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CACNB2	783	Q08289	calcium voltage-gated channel auxiliary subunit beta 2	Ion channel	56	0.659	0.538	2.6719e-06	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	PWRN1	791114		Prader-Willi region non-protein coding RNA 1		69	0.67	0.5		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SPAG16	79582	Q8N0X2	sperm associated antigen 16	Cellular structure	17	0.76	0.385	1.4037e-34	0.1		1.0	1	1	2019.0	2019.0
Attention deficit hyperactivity disorder	C1263846	ALG13	79868	Q9NP73	ALG13 UDP-N-acetylglucosaminyltransferase subunit		98	0.631	0.577	0.99998	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	UBA5	79876	Q9GZZ9	ubiquitin like modifier activating enzyme 5	Enzyme	150	0.582	0.731	0.00025218	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	PANK2	80025	Q9BZ23	pantothenate kinase 2	Kinase	171	0.559	0.808	7.4034e-07	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SEMA6D	80031	Q8NFY4	semaphorin 6D	Signaling	43	0.7	0.385	0.93948	0.1		1.0	3	3	2018.0	2019.0
Attention deficit hyperactivity disorder	C1263846	CSRNP3	80034	Q8WYN3	cysteine and serine rich nuclear protein 3		20	0.805	0.192	0.50018	0.1		1.0	1	1	2018.0	2018.0
Attention deficit hyperactivity disorder	C1263846	ADAM12	8038	O43184	ADAM metallopeptidase domain 12	Enzyme	107	0.565	0.731	5.7284e-07	0.1		1.0	2	1	2016.0	2016.0
Attention deficit hyperactivity disorder	C1263846	AP3B2	8120	Q13367	adaptor related protein complex 3 subunit beta 2	Transporter	60	0.691	0.346	0.77198	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CHAF1B	8208	Q13112	chromatin assembly factor 1 subunit B	Nucleic acid binding	44	0.663	0.538	0.42768	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	USP9X	8239	Q93008	ubiquitin specific peptidase 9 X-linked		255	0.502	0.846	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SMC1A	8243	Q14683	structural maintenance of chromosomes 1A		251	0.509	0.808	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	TMEM47	83604	Q9BQJ4	transmembrane protein 47		8	0.821	0.154	0.79685	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	FERMT3	83706	Q86UX7	fermitin family member 3		63	0.638	0.538	0.00026014	0.1		1.0	1	1	2011.0	2011.0
Attention deficit hyperactivity disorder	C1263846	ASCC2	84164	Q9H1I8	activating signal cointegrator 1 complex subunit 2		53	0.633	0.615	0.031027	0.1		1.0	1	1	2017.0	2017.0
Attention deficit hyperactivity disorder	C1263846	SLC9A7	84679	Q96T83	solute carrier family 9 member A7	Transporter	52	0.695	0.577	0.99352	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	PPM1D	8493	O15297	protein phosphatase, Mg2+/Mn2+ dependent 1D	Enzyme	177	0.513	0.808	2.2321e-11	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	IKBKG	8517	Q9Y6K9	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma	Kinase	252	0.493	0.769	0.084853	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	JRK	8629	O75564	Jrk helix-turn-helix protein		73	0.612	0.5		0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SYNGAP1	8831	Q96PV0	synaptic Ras GTPase activating protein 1	Enzyme modulator	145	0.584	0.577	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SYNJ1	8867	O43426	synaptojanin 1	Enzyme	128	0.576	0.577	0.42709	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CACNA1H	8912	O95180	calcium voltage-gated channel subunit alpha1 H	Ion channel	82	0.628	0.423	4.7778e-10	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	HERC2	8924	O95714	HECT and RLD domain containing E3 ubiquitin protein ligase 2		143	0.568	0.692	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	BRSK2	9024	Q8IWQ3	BR serine/threonine kinase 2	Kinase	33	0.7	0.5	0.95141	0.1		1.0	1	1	2019.0	2019.0
Attention deficit hyperactivity disorder	C1263846	BAZ1B	9031	Q9UIG0	bromodomain adjacent to zinc finger domain 1B		215	0.53	0.731	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	MLIP	90523	Q5VWP3	muscular LMNA interacting protein		37	0.682	0.577	3.1564e-16	0.1		1.0	1	1	2018.0	2018.0
Attention deficit hyperactivity disorder	C1263846	SMC3	9126	Q9UQE7	structural maintenance of chromosomes 3		193	0.535	0.846	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ALKBH8	91801	Q96BT7	alkB homolog 8, tRNA methyltransferase		29	0.716	0.423	0.00020414	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	ARHGEF6	9459	Q15052	Rac/Cdc42 guanine nucleotide exchange factor 6		52	0.678	0.462	0.99998	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	GTF2IRD1	9569	Q9UHL9	GTF2I repeat domain containing 1		222	0.522	0.769	0.90039	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	SEC24C	9632	P53992	SEC24 homolog C, COPII coat complex component	Transporter	139	0.543	0.808	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	FEZ1	9638	Q99689	fasciculation and elongation protein zeta 1		41	0.666	0.5	0.75002	0.1		1.0	1	1	2013.0	2013.0
Attention deficit hyperactivity disorder	C1263846	SEMA3E	9723	O15041	semaphorin 3E	Signaling	184	0.515	0.769	8.7148e-09	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	FRMPD4	9758	Q14CM0	FERM and PDZ domain containing 4		68	0.674	0.423	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	HDAC4	9759	P56524	histone deacetylase 4	Epigenetic regulator	256	0.484	0.885	1.0	0.1			0	1		
Attention deficit hyperactivity disorder	C1263846	NUAK1	9891	O60285	NUAK family kinase 1	Kinase	61	0.621	0.577	0.098693	0.1		1.0	1	1	2015.0	2015.0
Attention deficit hyperactivity disorder	C1263846	ATP2C2	9914	O75185	ATPase secretory pathway Ca2+ transporting 2	Transporter	18	0.769	0.308	5.0246e-60	0.1		1.0	1	1	2008.0	2008.0
Attention deficit hyperactivity disorder	C1263846	KIF14	9928	Q15058	kinesin family member 14	Cellular structure	103	0.578	0.654	4.1141e-05	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	MED12	9968	Q93074	mediator complex subunit 12	Transcription factor	340	0.476	0.769	1.0	0.1			0	0		
Attention deficit hyperactivity disorder	C1263846	CDH13	1012	P55290	cadherin 13		205	0.501	0.846	0.0007058	0.09		1.0	9	1	2010.0	2019.0
Attention deficit hyperactivity disorder	C1263846	DRD1	1812	P21728	dopamine receptor D1	G-protein coupled receptor	181	0.529	0.808	0.9555	0.09		1.0	9	0	1998.0	2017.0
Attention deficit hyperactivity disorder	C1263846	CYP2D6	1565	P10635	cytochrome P450 family 2 subfamily D member 6		432	0.437	0.885	1.0793e-25	0.08		1.0	8	0	2003.0	2016.0
Attention deficit hyperactivity disorder	C1263846	DNTT	1791	P04053	DNA nucleotidylexotransferase	Enzyme	70	0.606	0.692	2.9548e-10	0.08		0.875	8	0	1998.0	2008.0
Attention deficit hyperactivity disorder	C1263846	ELK3	2004	P41970	ETS transcription factor ELK3	Transcription factor	220	0.49	0.846	0.083508	0.08		1.0	8	0	2008.0	2019.0
Attention deficit hyperactivity disorder	C1263846	CLOCK	9575	O15516	clock circadian regulator		309	0.463	0.885	0.99957	0.08		1.0	8	1	2010.0	2018.0
Attention deficit hyperactivity disorder	C1263846	MTHFR	4524	P42898	methylenetetrahydrofolate reductase		985	0.337	0.885	3.2068e-10	0.07		0.857	7	5	2011.0	2018.0
Attention deficit hyperactivity disorder	C1263846	NTF3	4908	P20783	neurotrophin 3	Signaling	170	0.519	0.808	0.93201	0.07		0.857	7	1	2008.0	2019.0
Attention deficit hyperactivity disorder	C1263846	STX1A	6804	Q16623	syntaxin 1A	Transporter	74	0.621	0.654	0.9785	0.07		1.0	7	3	2013.0	2019.0
Attention deficit hyperactivity disorder	C1263846	WASF2	10163	Q9Y6W5	WASP family member 2	Cellular structure	95	0.585	0.769	0.97567	0.06		1.0	6	0	2016.0	2020.0
Attention deficit hyperactivity disorder	C1263846	ADRA1A	148	P35348	adrenoceptor alpha 1A	G-protein coupled receptor	294	0.462	0.846	3.3722e-07	0.06		1.0	6	0	2001.0	2017.0
Attention deficit hyperactivity disorder	C1263846	EPHB1	2047	P54762	EPH receptor B1	Kinase	169	0.518	0.846	0.9985	0.06		1.0	6	0	2008.0	2019.0
Attention deficit hyperactivity disorder	C1263846	SLC9A9	285195	Q8IVB4	solute carrier family 9 member A9	Transporter	44	0.656	0.577	5.3311e-12	0.06		1.0	6	1	2010.0	2018.0
Attention deficit hyperactivity disorder	C1263846	LOC110806262	110806262		solute carrier family 6 member 4 gene promoter		63	0.626	0.423		0.05		0.8	5	0	2003.0	2015.0
Attention deficit hyperactivity disorder	C1263846	HTR1A	3350	P08908	5-hydroxytryptamine receptor 1A	G-protein coupled receptor	229	0.522	0.846	0.19956	0.05		1.0	5	0	2007.0	2018.0
Attention deficit hyperactivity disorder	C1263846	NGF	4803	P01138	nerve growth factor	Signaling	616	0.391	0.885	0.82026	0.05		1.0	5	0	2007.0	2019.0
Attention deficit hyperactivity disorder	C1263846	CHPT1	56994	Q8WUD6	choline phosphotransferase 1	Enzyme	253	0.474	0.846	0.00024252	0.05		1.0	5	0	2012.0	2018.0
Attention Deficit Disorder	C0041671	ADD2	119	P35612	adducin 2	Cellular structure	29	0.678	0.615	0.9961	0.04		1.0	4	0	1987.0	1987.0
Attention deficit hyperactivity disorder	C1263846	NET1	10276	Q7Z628	neuroepithelial cell transforming 1		44	0.663	0.538	2.1017e-06	0.04		1.0	4	0	2005.0	2013.0
Attention deficit hyperactivity disorder	C1263846	BAIAP2	10458	Q9UQB8	BAR/IMD domain containing adaptor protein 2	Receptor	25	0.769	0.192	0.46155	0.04		1.0	4	4	2009.0	2017.0
Attention deficit hyperactivity disorder	C1263846	CXCR6	10663	O00574	C-X-C motif chemokine receptor 6	G-protein coupled receptor	325	0.448	0.885	5.7212e-05	0.04		1.0	4	0	2011.0	2017.0
Attention deficit hyperactivity disorder	C1263846	LOC107987479	107987479		cytochrome P450 2D6		76	0.597	0.769		0.04		1.0	4	0	2003.0	2015.0
Attention deficit hyperactivity disorder	C1263846	RSS	140821		Russell Silver syndrome		103	0.578	0.692		0.04		1.0	4	0	2016.0	2018.0
Attention deficit hyperactivity disorder	C1263846	ADRA2B	151	P18089	adrenoceptor alpha 2B	G-protein coupled receptor	296	0.465	0.846	4.4533e-06	0.04		1.0	4	0	2011.0	2017.0
Attention deficit hyperactivity disorder	C1263846	ADRA2C	152	P18825	adrenoceptor alpha 2C	G-protein coupled receptor	40	0.682	0.346	0.50159	0.04		1.0	4	0	1999.0	2008.0
Attention deficit hyperactivity disorder	C1263846	DDC	1644	P20711	dopa decarboxylase		164	0.535	0.769	3.7519e-08	0.04		1.0	4	0	2001.0	2018.0
Attention deficit hyperactivity disorder	C1263846	DRD3	1814	P35462	dopamine receptor D3	G-protein coupled receptor	199	0.529	0.692	0.0023694	0.04		1.0	4	1	2000.0	2009.0
Attention deficit hyperactivity disorder	C1263846	EDNRA	1909	P25101	endothelin receptor type A	G-protein coupled receptor	427	0.426	0.885	0.99158	0.04		1.0	4	0	2011.0	2017.0
Attention deficit hyperactivity disorder	C1263846	GPR42	2866	O15529	G protein-coupled receptor 42 (gene/pseudogene)	G-protein coupled receptor	255	0.475	0.846	0.050905	0.04		1.0	4	0	2011.0	2017.0
Attention deficit hyperactivity disorder	C1263846	REM1	28954	O75628	RRAD and GEM like GTPase 1		177	0.531	0.885	5.3363e-08	0.04		1.0	4	0	2017.0	2019.0
Attention deficit hyperactivity disorder	C1263846	GRIN2B	2904	Q13224	glutamate ionotropic receptor NMDA type subunit 2B	Ion channel	249	0.51	0.692	1.0	0.04		1.0	4	1	2007.0	2018.0
Attention deficit hyperactivity disorder	C1263846	NR3C1	2908	P04150	nuclear receptor subfamily 3 group C member 1	Nuclear receptor	590	0.393	0.885	0.96958	0.04		1.0	4	1	2016.0	2017.0
Attention deficit hyperactivity disorder	C1263846	GTS	2973		Gilles de la Tourette syndrome		32	0.682	0.615		0.04		1.0	4	0	1990.0	2017.0
Attention deficit hyperactivity disorder	C1263846	HTR2C	3358	P28335	5-hydroxytryptamine receptor 2C	G-protein coupled receptor	140	0.555	0.692	0.037023	0.04		0.75	4	3	2003.0	2018.0
Attention deficit hyperactivity disorder	C1263846	MC4R	4160	P32245	melanocortin 4 receptor	G-protein coupled receptor	149	0.535	0.692	0.00091697	0.04		1.0	4	2	2008.0	2015.0
Attention deficit hyperactivity disorder	C1263846	NOS1	4842	P29475	nitric oxide synthase 1		521	0.408	0.885	1.0	0.04		1.0	4	1	2011.0	2016.0
Attention deficit hyperactivity disorder	C1263846	NPY	4852	P01303	neuropeptide Y	Signaling	381	0.447	0.846	0.14294	0.04		1.0	4	0	2011.0	2019.0
Attention deficit hyperactivity disorder	C1263846	ACKR3	57007	P25106	atypical chemokine receptor 3	G-protein coupled receptor	400	0.428	0.885	0.39134	0.04		1.0	4	0	2011.0	2017.0
Attention deficit hyperactivity disorder	C1263846	SMS	6611	P52788	spermine synthase		263	0.491	0.846	0.97297	0.04		1.0	4	0	2016.0	2018.0
Attention deficit hyperactivity disorder	C1263846	SSTR4	6754	P31391	somatostatin receptor 4	G-protein coupled receptor	273	0.469	0.846	3.6978e-13	0.04		1.0	4	0	2011.0	2017.0
Attention deficit hyperactivity disorder	C1263846	BRS3	680	P32247	bombesin receptor subtype 3	G-protein coupled receptor	261	0.474	0.846	0.94849	0.04		1.0	4	0	2011.0	2017.0
Attention deficit hyperactivity disorder	C1263846	TPH1	7166	P17752	tryptophan hydroxylase 1		127	0.553	0.731	3.1872e-07	0.04		0.5	4	0	2001.0	2011.0
Attention deficit hyperactivity disorder	C1263846	LPAR2	9170	Q9HBW0	lysophosphatidic acid receptor 2	G-protein coupled receptor	285	0.463	0.846	0.036658	0.04		1.0	4	0	2011.0	2017.0
Attention deficit hyperactivity disorder	C1263846	STUB1	10273	Q9UNE7	STIP1 homology and U-box containing protein 1		155	0.544	0.692	0.018667	0.03		1.0	3	0	2003.0	2017.0
Attention deficit hyperactivity disorder	C1263846	CES1	1066	P23141	carboxylesterase 1	Enzyme	80	0.59	0.692	3.3228e-15	0.03		1.0	3	2	2009.0	2013.0
Attention deficit hyperactivity disorder	C1263846	CHRNA3	1136	P32297	cholinergic receptor nicotinic alpha 3 subunit	Ion channel	110	0.588	0.692	1.4197e-07	0.03		1.0	3	2	2012.0	2016.0
Attention deficit hyperactivity disorder	C1263846	ANKK1	255239	Q8NFD2	ankyrin repeat and kinase domain containing 1	Kinase	71	0.604	0.462	7.4008e-12	0.03		1.0	3	1	2015.0	2017.0
Attention deficit hyperactivity disorder	C1263846	DISC1	27185	Q9NRI5	DISC1 scaffold protein		136	0.548	0.769	1.6756e-06	0.03		1.0	3	3	2006.0	2018.0
Attention deficit hyperactivity disorder	C1263846	AMPH	273	P49418	amphiphysin		47	0.653	0.462	1.7006e-05	0.03		1.0	3	0	2017.0	2019.0
Attention deficit hyperactivity disorder	C1263846	HCRT	3060	O43612	hypocretin neuropeptide precursor		237	0.5	0.808	0.028774	0.03		1.0	3	0	2017.0	2019.0
Attention deficit hyperactivity disorder	C1263846	MIRLET7D	406886		microRNA let-7d		82	0.579	0.692		0.03		1.0	3	0	2015.0	2019.0
Attention deficit hyperactivity disorder	C1263846	NR4A2	4929	P43354	nuclear receptor subfamily 4 group A member 2	Nuclear receptor	166	0.529	0.846	0.99959	0.03		1.0	3	0	2005.0	2019.0
Attention deficit hyperactivity disorder	C1263846	DIRAS2	54769	Q96HU8	DIRAS family GTPase 2	Enzyme modulator	1	1.0	0.038	0.47802	0.03		1.0	3	0	2011.0	2018.0
Attention deficit hyperactivity disorder	C1263846	IMPACT	55364	Q9P2X3	impact RWD domain protein		85	0.593	0.808	4.8274e-08	0.03		1.0	3	0	2016.0	2019.0
Attention deficit hyperactivity disorder	C1263846	ABCB10P1	56476		ABCB10 pseudogene 1		9	0.839	0.231		0.03		1.0	3	0	2017.0	2018.0
Attention deficit hyperactivity disorder	C1263846	SHBG	6462	P04278	sex hormone binding globulin		368	0.438	0.808	1.2538e-06	0.03		0.667	3	0	2017.0	2019.0
Attention deficit hyperactivity disorder	C1263846	SLC1A3	6507	P43003	solute carrier family 1 member 3	Transporter	109	0.573	0.577	0.98914	0.03		1.0	3	2	2005.0	2019.0
Attention deficit hyperactivity disorder	C1263846	VAMP2	6844	P63027	vesicle associated membrane protein 2		47	0.65	0.462	0.88736	0.03		1.0	3	0	2015.0	2018.0
Attention deficit hyperactivity disorder	C1263846	VEGFA	7422	P15692	vascular endothelial growth factor A	Signaling	1899	0.266	0.923	2.4085e-05	0.03		1.0	3	0	2017.0	2019.0
Attention deficit hyperactivity disorder	C1263846	SHANK3	85358	Q9BYB0	SH3 and multiple ankyrin repeat domains 3		169	0.55	0.731	1.0	0.03		1.0	3	0	2013.0	2018.0
Attention deficit hyperactivity disorder	C1263846	WASF1	8936	Q92558	WASP family member 1	Cellular structure	132	0.547	0.808	0.99757	0.03		1.0	3	0	2018.0	2020.0
Attention deficit hyperactivity disorder	C1263846	ZNF804A	91752	Q7Z570	zinc finger protein 804A		53	0.647	0.654	0.0055255	0.03		1.0	3	1	2011.0	2019.0
Attention deficit hyperactivity disorder	C1263846	ADIPOQ	9370	Q15848	adiponectin, C1Q and collagen domain containing		679	0.376	0.885	4.6434e-09	0.03		1.0	3	0	2014.0	2018.0
Attention deficit hyperactivity disorder, combined type	C2945552	SLC6A3	6531	Q01959	solute carrier family 6 member 3	Transporter	373	0.453	0.885	0.99758	0.03		1.0	3	0	2007.0	2012.0
Child attention deficit disorder	C0004269	PTEN	5728	P60484	phosphatase and tensin homolog	Enzyme	1349	0.305	0.923	0.25651	0.02		1.0	2	0	2009.0	2013.0
Attention Deficit Disorder	C0041671	NR3C1	2908	P04150	nuclear receptor subfamily 3 group C member 1	Nuclear receptor	590	0.393	0.885	0.96958	0.02		1.0	2	0	2017.0	2017.0
Attention Deficit Disorder	C0041671	APOE	348	P02649	apolipoprotein E		1049	0.338	0.962	0.0018685	0.02		1.0	2	0	2003.0	2016.0
Attention Deficit Disorder	C0041671	PTEN	5728	P60484	phosphatase and tensin homolog	Enzyme	1349	0.305	0.923	0.25651	0.02		1.0	2	0	2009.0	2013.0
Attention Deficit Disorder	C0041671	DTNBP1	84062	Q96EV8	dystrobrevin binding protein 1		93	0.588	0.615	6.8375e-06	0.02		1.0	2	0	2010.0	2012.0
Attention-Deficit/Hyperactivity Disorder, Predominantly Inattentive Type	C0339002	SLC6A3	6531	Q01959	solute carrier family 6 member 3	Transporter	373	0.453	0.885	0.99758	0.02		1.0	2	0	1995.0	2016.0
Attention deficit hyperactivity disorder	C1263846	ADHD5	100190790		Attention deficit-hyperactivity disorder, susceptibility to, 5		2	0.931	0.038		0.02		1.0	2	0	2006.0	2018.0
Attention deficit hyperactivity disorder	C1263846	RBM12	10137	Q9NTZ6	RNA binding motif protein 12	Nucleic acid binding	17	0.769	0.269	0.0021086	0.02		0.5	2	0	2005.0	2020.0
Attention deficit hyperactivity disorder	C1263846	CDK5	1020	Q00535	cyclin dependent kinase 5	Kinase	204	0.495	0.846	0.13892	0.02		1.0	2	0	2017.0	2019.0
Attention deficit hyperactivity disorder	C1263846	LOC102723407	102723407		immunoglobulin heavy variable 4-38-2-like		159	0.514	0.769		0.02		1.0	2	0	2007.0	2019.0
Attention deficit hyperactivity disorder	C1263846	LOC102724971	102724971		putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8		139	0.527	0.769		0.02		1.0	2	0	2007.0	2019.0
Attention deficit hyperactivity disorder	C1263846	ERICD	104355217		E2F1-regulated inhibitor of cell death		36	0.691	0.654		0.02		1.0	2	0	2019.0	2020.0
Attention deficit hyperactivity disorder	C1263846	SLC9A6	10479	Q92581	solute carrier family 9 member A6	Transporter	210	0.516	0.846	0.99833	0.02		1.0	2	0	2016.0	2018.0
Attention deficit hyperactivity disorder	C1263846	POLR3A	11128	O14802	RNA polymerase III subunit A	Enzyme	219	0.538	0.769	1.2821e-23	0.02		1.0	2	0	2017.0	2017.0
Attention deficit hyperactivity disorder	C1263846	CHRNA5	1138	P30532	cholinergic receptor nicotinic alpha 5 subunit	Ion channel	110	0.593	0.577	2.1488e-06	0.02		1.0	2	0	2016.0	2019.0
